"Date","Close"
"2010-03-01",20.870001
"2010-03-02",20.700001
"2010-03-03",20.52
"2010-03-04",20.530001
"2010-03-05",20.790001
"2010-03-08",20.77
"2010-03-09",20.940001
"2010-03-10",21.190001
"2010-03-11",21.25
"2010-03-12",21.27
"2010-03-15",21.17
"2010-03-16",22.01
"2010-03-17",22.24
"2010-03-18",22.200001
"2010-03-19",21.99
"2010-03-22",22.24
"2010-03-23",22.67
"2010-03-24",22.43
"2010-03-25",22.35
"2010-03-26",22.24
"2010-03-29",22.33
"2010-03-30",22.34
"2010-03-31",22.290001
"2010-04-01",22.389999
"2010-04-05",22.59
"2010-04-06",22.4
"2010-04-07",22.450001
"2010-04-08",22.309999
"2010-04-09",22.549999
"2010-04-12",22.540001
"2010-04-13",22.77
"2010-04-14",23.52
"2010-04-15",24.219999
"2010-04-16",23.92
"2010-04-19",24
"2010-04-20",24.120001
"2010-04-21",23.799999
"2010-04-22",23.99
"2010-04-23",24.040001
"2010-04-26",23.82
"2010-04-27",23.35
"2010-04-28",23.26
"2010-04-29",23.49
"2010-04-30",22.84
"2010-05-03",23.26
"2010-05-04",22.559999
"2010-05-05",22.17
"2010-05-06",21.51
"2010-05-07",21.309999
"2010-05-10",22.549999
"2010-05-11",22.280001
"2010-05-12",23.09
"2010-05-13",22.5
"2010-05-14",21.889999
"2010-05-17",22.02
"2010-05-18",21.43
"2010-05-19",21.6
"2010-05-20",20.790001
"2010-05-21",20.91
"2010-05-24",20.67
"2010-05-25",20.85
"2010-05-26",20.700001
"2010-05-27",21.76
"2010-05-28",21.42
"2010-06-01",21.18
"2010-06-02",21.809999
"2010-06-03",21.9
"2010-06-04",20.950001
"2010-06-07",20.309999
"2010-06-08",20.18
"2010-06-09",19.93
"2010-06-10",20.549999
"2010-06-11",20.639999
"2010-06-14",20.889999
"2010-06-15",21.48
"2010-06-16",21.49
"2010-06-17",21.52
"2010-06-18",21.4
"2010-06-21",21.190001
"2010-06-22",20.98
"2010-06-23",20.809999
"2010-06-24",20.32
"2010-06-25",20.030001
"2010-06-28",20.360001
"2010-06-29",19.790001
"2010-06-30",19.450001
"2010-07-01",19.25
"2010-07-02",19.200001
"2010-07-06",19.48
"2010-07-07",20.139999
"2010-07-08",20.1
"2010-07-09",20.24
"2010-07-12",20.57
"2010-07-13",21.01
"2010-07-14",21.360001
"2010-07-15",21.51
"2010-07-16",21.02
"2010-07-19",21.59
"2010-07-20",21.65
"2010-07-21",21.26
"2010-07-22",21.780001
"2010-07-23",21.690001
"2010-07-26",21.709999
"2010-07-27",21.58
"2010-07-28",21.33
"2010-07-29",21.030001
"2010-07-30",20.6
"2010-08-02",21.15
"2010-08-03",20.870001
"2010-08-04",20.73
"2010-08-05",20.67
"2010-08-06",20.65
"2010-08-09",20.65
"2010-08-10",19.82
"2010-08-11",19.43
"2010-08-12",19.450001
"2010-08-13",19.15
"2010-08-16",19.469999
"2010-08-17",19.530001
"2010-08-18",19.59
"2010-08-19",18.9
"2010-08-20",18.91
"2010-08-23",18.700001
"2010-08-24",18.41
"2010-08-25",18.48
"2010-08-26",18.18
"2010-08-27",18.370001
"2010-08-30",17.959999
"2010-08-31",17.67
"2010-09-01",18.139999
"2010-09-02",18.280001
"2010-09-03",18.43
"2010-09-07",18.120001
"2010-09-08",17.9
"2010-09-09",18
"2010-09-10",17.969999
"2010-09-13",18.559999
"2010-09-14",18.74
"2010-09-15",18.719999
"2010-09-16",18.969999
"2010-09-17",18.809999
"2010-09-20",18.93
"2010-09-21",19.139999
"2010-09-22",19.01
"2010-09-23",18.98
"2010-09-24",19.42
"2010-09-27",19.24
"2010-09-28",19.51
"2010-09-29",19.24
"2010-09-30",19.200001
"2010-10-01",19.32
"2010-10-04",18.870001
"2010-10-05",19.15
"2010-10-06",19.309999
"2010-10-07",19.4
"2010-10-08",19.52
"2010-10-11",19.559999
"2010-10-12",19.77
"2010-10-13",19.24
"2010-10-14",19.32
"2010-10-15",19.32
"2010-10-18",19.190001
"2010-10-19",19.209999
"2010-10-20",19.639999
"2010-10-21",19.76
"2010-10-22",19.84
"2010-10-25",19.870001
"2010-10-26",20.040001
"2010-10-27",20.190001
"2010-10-28",20.469999
"2010-10-29",20.049999
"2010-11-01",20.57
"2010-11-02",20.34
"2010-11-03",20.48
"2010-11-04",20.969999
"2010-11-05",21.24
"2010-11-08",21.23
"2010-11-09",21.16
"2010-11-10",21.040001
"2010-11-11",21.209999
"2010-11-12",21.530001
"2010-11-15",21.299999
"2010-11-16",21.07
"2010-11-17",21.08
"2010-11-18",21.02
"2010-11-19",21.139999
"2010-11-22",21.25
"2010-11-23",21.09
"2010-11-24",21.389999
"2010-11-26",21.34
"2010-11-29",21.33
"2010-11-30",21.16
"2010-12-01",21.48
"2010-12-02",21.700001
"2010-12-03",21.690001
"2010-12-06",21.700001
"2010-12-07",21.58
"2010-12-08",21.82
"2010-12-09",21.809999
"2010-12-10",21.91
"2010-12-13",21.5
"2010-12-14",21.469999
"2010-12-15",21.280001
"2010-12-16",21.299999
"2010-12-17",21.459999
"2010-12-20",21.23
"2010-12-21",21.1
"2010-12-22",20.889999
"2010-12-23",20.84
"2010-12-27",20.84
"2010-12-28",20.879999
"2010-12-29",20.940001
"2010-12-30",21.02
"2010-12-31",21.030001
"2011-01-03",20.85
"2011-01-04",21.15
"2011-01-05",20.940001
"2011-01-06",20.77
"2011-01-07",20.66
"2011-01-10",20.690001
"2011-01-11",21.049999
"2011-01-12",21.299999
"2011-01-13",21.290001
"2011-01-14",21.08
"2011-01-18",21.08
"2011-01-19",21.01
"2011-01-20",20.950001
"2011-01-21",20.82
"2011-01-24",21.24
"2011-01-25",21.549999
"2011-01-26",21.75
"2011-01-27",21.75
"2011-01-28",21.459999
"2011-01-31",21.459999
"2011-02-01",21.48
"2011-02-02",21.559999
"2011-02-03",21.57
"2011-02-04",21.68
"2011-02-07",21.690001
"2011-02-08",21.639999
"2011-02-09",21.459999
"2011-02-10",21.799999
"2011-02-11",21.76
"2011-02-14",21.57
"2011-02-15",21.450001
"2011-02-16",21.75
"2011-02-17",21.969999
"2011-02-18",22.139999
"2011-02-22",21.809999
"2011-02-23",21.15
"2011-02-24",21.290001
"2011-02-25",21.860001
"2011-02-28",21.469999
"2011-03-01",21.389999
"2011-03-02",21.49
"2011-03-03",21.790001
"2011-03-04",21.559999
"2011-03-07",21.209999
"2011-03-08",21.129999
"2011-03-09",21.200001
"2011-03-10",20.790001
"2011-03-11",20.870001
"2011-03-14",20.84
"2011-03-15",20.18
"2011-03-16",19.809999
"2011-03-17",19.9
"2011-03-18",19.93
"2011-03-21",20.190001
"2011-03-22",20.15
"2011-03-23",20.290001
"2011-03-24",20.379999
"2011-03-25",20.370001
"2011-03-28",20.34
"2011-03-29",20.280001
"2011-03-30",20.459999
"2011-03-31",20.18
"2011-04-01",19.719999
"2011-04-04",19.49
"2011-04-05",19.709999
"2011-04-06",19.950001
"2011-04-07",20.030001
"2011-04-08",20.02
"2011-04-11",20.120001
"2011-04-12",19.76
"2011-04-13",19.780001
"2011-04-14",19.58
"2011-04-15",19.75
"2011-04-18",19.620001
"2011-04-19",19.860001
"2011-04-20",21.41
"2011-04-21",21.459999
"2011-04-25",21.940001
"2011-04-26",22.48
"2011-04-27",22.629999
"2011-04-28",22.799999
"2011-04-29",23.15
"2011-05-02",22.91
"2011-05-03",23.23
"2011-05-04",23.5
"2011-05-05",23.610001
"2011-05-06",23.25
"2011-05-09",22.76
"2011-05-10",23.030001
"2011-05-11",23.41
"2011-05-12",23.709999
"2011-05-13",23.41
"2011-05-16",23.639999
"2011-05-17",23.549999
"2011-05-18",23.879999
"2011-05-19",23.540001
"2011-05-20",23.219999
"2011-05-23",22.860001
"2011-05-24",22.610001
"2011-05-25",22.68
"2011-05-26",22.5
"2011-05-27",22.209999
"2011-05-31",22.51
"2011-06-01",22
"2011-06-02",22.09
"2011-06-03",21.73
"2011-06-06",21.83
"2011-06-07",22.059999
"2011-06-08",21.82
"2011-06-09",21.76
"2011-06-10",21.379999
"2011-06-13",21.389999
"2011-06-14",21.82
"2011-06-15",21.42
"2011-06-16",21.42
"2011-06-17",21.190001
"2011-06-20",21.33
"2011-06-21",21.65
"2011-06-22",21.4
"2011-06-23",21.709999
"2011-06-24",21.200001
"2011-06-27",21.34
"2011-06-28",21.49
"2011-06-29",21.389999
"2011-06-30",22.16
"2011-07-01",22.530001
"2011-07-05",22.440001
"2011-07-06",22.75
"2011-07-07",23.23
"2011-07-08",23.09
"2011-07-11",22.85
"2011-07-12",22.450001
"2011-07-13",22.48
